Dish Name,Ingredients,Recipe Steps,Calories (per 100g),Diet Type,Type of Dish,Macro Nutrients (per 100g),Dosha,Dish_Numeric,Suitable_for_Encoded,Type_of_Dish_Encoded,Ingredients_Encoded,Recipe Steps_Encoded,Dosha_Numeric,BMI Suitability,BMI_Suitability_Encoded,cooling,highenergy,highfiber,highprotein,hydrating,lowcalorie,lowcarb,lowfat,probiotic,proteinrich,vegan,vegetarian,vitaminrich,ProteinContent,SodiumContent,CholesterolContent,SaturatedFatContent,SugarContent,CarbohydrateContent
Poha,"Flattened rice, peanuts, spices",Saut poha with spices,110,['vegan'],Snack,"Protein 3g, Carbs 18g, Fat 4g",vata,74,1,7,"[120, 81, 4]",[74],1,Normal,3,0,0,0,0,0,0,0,0,0,0,1,0,0,3,162,27,4.17,1.63,60
Pesarattu,"Green gram, spices","Make batter, cook on tawa",120,['vegan'],Snack,"Protein 10g, Carbs 18g, Fat 2g",vata,75,2,7,"[71, 4]",[75],1,Normal,3,0,0,0,0,0,0,0,0,0,0,1,0,0,9,546,29,9.63,1.37,16
Kadai Paneer,"Paneer, capsicum, tomatoes, spices",Saut paneer with veggies,180,['vegetarian'],Main Course,"Protein 10g, Carbs 10g, Fat 12g",vata,76,1,2,"[93, 121, 6, 4]",[76],1,Underweight,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,491,28,9.1,6.27,12
Sambar,"Lentils, tamarind, vegetables, spices",Cook lentils with veggies,90,['vegan'],Main Course,"Protein 5g, Carbs 12g, Fat 2g",vata,77,2,2,"[39, 122, 12, 4]",[77],1,Overweight,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3,613,45,2.36,12.35,56
Dahi Bhalla,"Urad dal, yogurt, spices","Soak dal, make balls, serve with yogurt",150,['vegetarian'],Snack,"Protein 7g, Carbs 20g, Fat 5g",vata,78,1,7,"[123, 56, 4]",[78],1,Normal,3,0,0,0,0,0,0,0,0,0,0,0,1,0,7,317,5,1.16,14.82,32
Malai Kofta,"Paneer, cream, potatoes, spices","Make kofta, prepare gravy",250,['vegetarian'],Main Course,"Protein 8g, Carbs 22g, Fat 16g",vata,79,9,2,"[93, 124, 125, 4]",[79],1,Underweight,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7,559,34,1.46,3.11,55
Dhokla,"Gram flour, yogurt, spices","Ferment batter, steam",90,['vegan'],Snack,"Protein 6g, Carbs 15g, Fat 2g",vata,80,1,7,"[90, 56, 4]",[80],1,Overweight,2,0,0,0,0,0,0,0,0,0,0,1,0,0,11,435,40,0.67,9.32,52
Biryani,"Rice, chicken, spices",Cook chicken with rice and spices,220,['highprotein'],Main Course,"Protein 12g, Carbs 28g, Fat 8g",vata,81,9,2,"[17, 126, 4]",[81],1,Underweight,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,436,36,1.4,6.33,56
Gulab Jamun,"Khoya, sugar, ghee","Fry khoya balls, soak in syrup",250,['vegetarian'],Dessert,"Protein 5g, Carbs 35g, Fat 10g",vata,82,5,1,"[127, 107, 29]",[82],1,Underweight,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7,162,23,6.99,14.58,69
Bhindi Masala,"Okra, onion, spices","Saut onions, add okra and spices",100,['vegan'],Main Course,"Protein 2g, Carbs 10g, Fat 4g",vata,83,2,2,"[128, 40, 4]",[83],1,Normal,3,0,0,0,0,0,0,0,0,0,0,1,0,0,14,662,28,1.18,12.79,54
Kheer,"Milk, rice, sugar, cardamom","Cook rice in milk, add sugar",150,['vegetarian'],Dessert,"Protein 4g, Carbs 25g, Fat 5g",vata,84,5,1,"[129, 92, 107, 130]",[84],1,Normal,3,0,0,0,0,0,0,0,0,0,0,0,1,0,3,674,48,3.53,12.74,27
Puran Poli,"Chana dal, jaggery, wheat flour, ghee","Make dough, stuff with jaggerydal mixture, cook on tawa",250,['vegetarian'],Dessert,"Protein 8g, Carbs0",vata,85,5,1,"[131, 86, 132, 29]",[85],1,Underweight,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11,130,45,8.53,7.56,67
Chicken Biryani,"Chicken, rice, spices, yogurt","Cook chicken, layer with rice, steam",250,['highprotein'],Main Course,"Protein 15g, Carbs 28g, Fat 8g",vata,86,10,2,"[133, 92, 4, 56]",[86],1,Underweight,1,0,0,0,1,0,0,0,0,0,0,0,0,0,13,748,30,0.72,6.81,47
Rajma,"Kidney beans, tomatoes, onions, spices","1 Soak kidney beans overnight 2 Boil until tender 3 In a pan, saut onions, add tomatoes and spices, then mix with cooked beans",150,['highprotein'],Main Course,"Protein 9g, Carbs 27g, Fat 2g",vata,87,2,2,"[119, 6, 7, 4]",[87],1,Normal,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3,162,34,8.24,4.83,44
Aloo Jeera,"Boiled potatoes, cumin, coriander",1 SautÃ cumin in ghee 2 Toss boiled potatoes with cumin and coriander,140,['highfiber'],Snack,"Protein 2g, Carbs 20g, Fat 5g",pitta,88,11,7,"[134, 16, 32]",[88],2,Normal,3,0,0,1,0,0,0,0,0,0,0,0,0,0,11,51,32,3.18,1.79,60
Beetroot Soup,"Beetroot, coconut milk, cumin",1 Boil beetroot 2 Blend with coconut milk and cumin Serve warm,100,['lowfat'],Soup,"Protein 2g, Carbs 12g, Fat 4g",pitta,89,12,4,"[36, 22, 16]",[89],2,Normal,3,0,0,0,0,0,0,0,1,0,0,0,0,0,5,691,20,1.62,13.11,24
Masoor Dal Soup,"Masoor dal, ginger, turmeric",1 Pressure cook dal with spices 2 Blend and serve with coriander garnish,120,['highprotein'],Soup,"Protein 7g, Carbs 20g, Fat 2g",pitta,90,11,4,"[135, 20, 28]",[90],2,Normal,3,0,0,0,1,0,0,0,0,0,0,0,0,0,9,269,31,7.12,12.38,34
Mung Dal Khichdi,"Mung dal, rice, turmeric, ghee",1 Pressure cook rice and mung dal 2 Add ghee and mild spices,180,['highfiber'],Main Course,"Protein 8g, Carbs 25g, Fat 4g",pitta,91,5,2,"[136, 92, 28, 29]",[91],2,Underweight,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,615,22,6.47,15,64
Pumpkin Soup,"Pumpkin, ginger, coconut milk",1 Boil pumpkin with ginger 2 Blend with coconut milk Serve warm,90,['lowfat'],Soup,"Protein 2g, Carbs 10g, Fat 3g",pitta,92,13,4,"[19, 20, 22]",[92],2,Overweight,2,0,0,0,0,0,0,0,1,0,0,0,0,0,13,785,32,8.84,14.95,46
Coconut Rice,"Rice, coconut, curry leaves",1 Cook rice 2 Mix with grated coconut and curry leaves tempering,210,['highfiber'],Main Course,"Protein 4g, Carbs 35g, Fat 8g",pitta,93,7,2,"[17, 34, 50]",[93],2,Underweight,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10,274,2,7.48,8.78,37
Carrot Raita,"Carrot, yogurt, cumin",1 Grate carrots 2 Mix with yogurt and cumin powder,80,['highfiber'],Side Dish,"Protein 4g, Carbs 8g, Fat 2g",pitta,94,11,5,"[60, 56, 16]",[94],2,Overweight,2,0,0,1,0,0,0,0,0,0,0,0,0,0,9,434,17,8.13,11.77,19
Cucumber Raita,"Cucumber, yogurt, mint, cumin","1 Grate cucumber 2 Mix with yogurt, cumin, and mint leaves",80,['highfiber'],Side Dish,"Protein 4g, Carbs 6g, Fat 2g",pitta,95,11,5,"[116, 56, 38, 16]",[95],2,Overweight,2,0,0,1,0,0,0,0,0,0,0,0,0,0,6,452,24,3.18,14.23,48
Rasam,"Tamarind, black pepper, toor dal","1 Boil tamarind water 2 Add cooked toor dal, pepper, and curry leaves",90,['lowfat'],Soup,"Protein 4g, Carbs 12g, Fat 2g",pitta,96,11,4,"[137, 25, 138]",[96],2,Overweight,2,0,0,0,0,0,0,0,1,0,0,0,0,0,14,687,41,2.19,12.9,66
Amla Raita,"Amla, yogurt, cumin, mint","1 Grate amla 2 Mix with yogurt, cumin, and mint for cooling",70,['highfiber'],Side Dish,"Protein 4g, Carbs 6g, Fat 2g",pitta,97,12,5,"[139, 56, 16, 38]",[97],2,Overweight,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3,179,30,7.63,4.46,26
Sweet Potato Mash,"Sweet potato, ghee, cinnamon",1 Boil sweet potato 2 Mash with ghee and cinnamon powder,100,['highfiber'],Side Dish,"Protein 2g, Carbs 20g, Fat 3g",pitta,98,14,5,"[23, 29, 21]",[98],2,Normal,3,0,0,1,0,0,0,0,0,0,0,0,0,0,6,102,2,8.16,7.31,48
Tender Coconut Pudding,"Tender coconut pulp, coconut milk, jaggery",1 Blend pulp with coconut milk 2 Set with jaggery syrup Chill before serving,120,['lowfat'],Dessert,"Protein 2g, Carbs 15g, Fat 5g",pitta,99,7,1,"[140, 22, 86]",[99],2,Normal,3,0,0,0,0,0,0,0,1,0,0,0,0,0,9,733,39,9.91,2.81,31
Turai Dal,"Ridge gourd, toor dal, turmeric",1 Cook ridge gourd with toor dal and turmeric Temper with mild spices,110,['highfiber'],Curry,"Protein 6g, Carbs 15g, Fat 3g",pitta,100,2,6,"[141, 138, 28]",[100],2,Normal,3,0,0,1,0,0,0,0,0,0,0,0,0,0,11,779,45,4.42,14.36,35
Gujarati Kadhi,"Yogurt, gram flour, curry leaves",1 Mix yogurt with gram flour 2 Simmer with spices and curry leaves,90,['lowfat'],Curry,"Protein 4g, Carbs 10g, Fat 3g",pitta,101,11,6,"[142, 143, 50]",[101],2,Overweight,2,0,0,0,0,0,0,0,1,0,0,0,0,0,10,721,23,4.03,9.49,53
Fada Lapsi,"Broken wheat, jaggery, ghee",1 Cook wheat with jaggery and ghee 2 Garnish with nuts,230,['highfiber'],Dessert,"Protein 5g, Carbs 35g, Fat 7g",pitta,102,7,1,"[111, 86, 29]",[102],2,Underweight,1,0,0,1,0,0,0,0,0,0,0,0,0,0,13,759,49,7.88,4.2,34
Dudhi Halwa,"Bottle gourd, milk, jaggery, ghee",1 Grate dudhi 2 Cook with milk and jaggery Finish with ghee,150,['highfiber'],Dessert,"Protein 3g, Carbs 25g, Fat 5g",pitta,103,12,1,"[48, 2, 86, 29]",[103],2,Normal,3,0,0,1,0,0,0,0,0,0,0,0,0,0,13,465,31,3.74,10.4,26
Mango Rice,"Raw mango, rice, curry leaves",1 Grate raw mango 2 Mix with cooked rice and tempering,200,['highfiber'],Main Course,"Protein 4g, Carbs 35g, Fat 6g",pitta,104,12,2,"[144, 92, 50]",[104],2,Underweight,1,0,0,1,0,0,0,0,0,0,0,0,0,0,13,296,46,9.34,9.65,22
Lauki Chana Dal Curry,"Bottle gourd, chana dal, cumin, turmeric",1 Cook chana dal with diced bottle gourd 2 Temper with mild spices,130,['highfiber'],Main Course,"Protein 6g, Carbs 20g, Fat 4g",pitta,105,7,2,"[48, 64, 16, 28]",[105],2,Normal,3,0,0,1,0,0,0,0,0,0,0,0,0,0,14,488,21,8.65,6.01,29
Ash Gourd Sambar,"Ash gourd, toor dal, mild spices",1 Cook toor dal with diced ash gourd and mild sambar spices,120,['highfiber'],Main Course,"Protein 6g, Carbs 20g, Fat 3g",pitta,106,12,2,"[145, 138, 146]",[106],2,Normal,3,0,0,1,0,0,0,0,0,0,0,0,0,0,10,252,22,4.58,2.59,34
Zucchini Korma,"Zucchini, coconut milk, mild spices",1 Cook zucchini in coconut milk with mild spices like cumin and fennel,110,['lowfat'],Main Course,"Protein 3g, Carbs 12g, Fat 5g",pitta,107,8,2,"[55, 22, 146]",[107],2,Normal,3,0,0,0,0,0,0,0,1,0,0,0,0,0,14,233,1,7.63,10.4,13
Sweet Potato Curry,"Sweet potato, coconut milk, turmeric",1 Cook diced sweet potato with coconut milk and mild turmeric flavoring,140,['highfiber'],Main Course,"Protein 3g, Carbs 25g, Fat 4g",pitta,108,15,2,"[23, 22, 28]",[108],2,Normal,3,0,0,1,0,0,0,0,0,0,0,0,0,0,14,172,26,7.67,8.28,19
Cabbage Rice,"Rice, cabbage, cumin, coconut",1 SautÃ shredded cabbage with coconut and cumin 2 Mix with cooked rice,150,['highfiber'],Main Course,"Protein 4g, Carbs 28g, Fat 5g",pitta,109,7,2,"[17, 73, 16, 34]",[109],2,Normal,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,450,41,1.48,11.81,12
Bottle Gourd Dal,"Bottle gourd, toor dal, turmeric",1 Cook toor dal and diced bottle gourd with turmeric 2 Add mild tempering,130,['highfiber'],Main Course,"Protein 6g, Carbs 20g, Fat 3g",pitta,110,15,2,"[48, 138, 28]",[110],2,Normal,3,0,0,1,0,0,0,0,0,0,0,0,0,0,10,343,1,9.07,8.28,50
Raw Banana Curry,"Raw banana, coconut milk, curry leaves",1 Boil raw banana slices 2 Cook with coconut milk and mild spices,140,['highfiber'],Main Course,"Protein 3g, Carbs 25g, Fat 4g",pitta,111,11,2,"[147, 22, 50]",[111],2,Normal,3,0,0,1,0,0,0,0,0,0,0,0,0,0,8,329,25,5.3,12.93,54
Spiced Methi Dal,"Toor dal, fenugreek leaves, cumin, ginger",1 Cook toor dal with chopped methi leaves and ginger 2 Add cumin tempering,120,['lowfat'],Main Course,"Protein 7g, Carbs 20g, Fat 2g",kapha,112,5,2,"[84, 69, 16, 20]",[112],3,Normal,3,0,0,0,0,0,0,0,1,0,0,0,0,0,10,659,16,8.35,8.73,27
Jalebi,"Flour, Yogurt, Sugar, Saffron","Prepare a batter with flour and yogurt, ferment, deepfry spirals, soak in saffron syrup",250,['highenergy'],Dessert,"Protein 1g, Carbs 30g, Fat 8g",pitta,113,15,1,"[148, 142, 149, 150]",[113],2,Underweight,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9,247,39,3.54,8.85,56
Mysore Pak,"Gram Flour, Ghee, Sugar","Roast gram flour in ghee, mix sugar syrup, cook until set",300,['highenergy'],Dessert,"Protein 2g, Carbs 20g, Fat 25g",pitta,114,11,1,"[151, 152, 149]",[114],2,Underweight,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,560,32,9.01,13.27,45
Rasgulla,"Milk, Lemon Juice, Sugar","Curdle milk, drain whey, knead chenna, shape balls, cook in sugar syrup",180,['lowfat'],Dessert,"Protein 4g, Carbs 25g, Fat 1g",pitta,115,11,1,"[129, 153, 149]",[115],2,Underweight,1,0,0,0,0,0,0,0,1,0,0,0,0,0,13,193,8,4.2,6.65,56
Besan Ladoo,"Gram Flour, Ghee, Sugar","Roast gram flour in ghee, mix sugar, shape into balls",230,['proteinrich'],Dessert,"Protein 5g, Carbs 20g, Fat 12g",kapha,116,11,1,"[151, 152, 149]",[116],3,Underweight,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9,658,42,0.6,2.88,31
Modak,"Rice Flour, Coconut, Jaggery","Prepare dough with rice flour, stuff with coconut and jaggery mix, steam until done",200,['highfiber'],Dessert,"Protein 3g, Carbs 30g, Fat 4g",vata,117,11,1,"[154, 108, 155]",[117],1,Underweight,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9,250,47,9.1,1.4,43
Jackfruit Payasam,"Jackfruit, Coconut Milk, Jaggery, Cardamom","Cook jackfruit pulp in coconut milk, add jaggery syrup, and simmer until thick",200,['highfiber'],Dessert,"Protein 1g, Carbs 25g, Fat 8g",pitta,118,11,1,"[156, 157, 155, 158]",[118],2,Underweight,1,0,0,1,0,0,0,0,0,0,0,0,0,0,12,173,38,1.37,11.57,56
Badam Halwa,"Almonds, Milk, Ghee, Sugar","Soak and grind almonds, cook with milk, sugar, and ghee until thick",280,['proteinrich'],Dessert,"Protein 6g, Carbs 18g, Fat 18g",pitta,119,7,1,"[159, 129, 152, 149]",[119],2,Underweight,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,236,28,3.53,9.68,17
Rava Kesari,"Semolina, Ghee, Sugar, Saffron, Nuts","Roast semolina in ghee, add water, sugar, saffron, and nuts, and cook until thick",250,['highenergy'],Dessert,"Protein 3g, Carbs 30g, Fat 10g",kapha,120,10,1,"[160, 152, 149, 150, 161]",[120],3,Underweight,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,375,41,9.53,10.86,49
Apple Raita,"Apple, Yogurt, Cumin, Black Salt","Cube apple, mix with yogurt, roasted cumin powder, and a pinch of black salt",60,['cooling'],Salad,"Protein 3g, Carbs 9g, Fat 1g",vata,121,11,3,"[162, 142, 163, 164]",[121],1,Overweight,2,1,0,0,0,0,0,0,0,0,0,0,0,0,9,513,25,9.53,3.98,58
Avocado Salad,"Avocado, Tomato, Lemon, Salt, Olive Oil","Cube avocado, mix with chopped tomato, lemon juice, a pinch of salt, and drizzle with olive oil",120,['highfiber'],Salad,"Protein 2g, Carbs 8g, Fat 10g",vata,122,7,3,"[165, 166, 167, 168, 169]",[122],1,Normal,3,0,0,1,0,0,0,0,0,0,0,0,0,0,4,398,34,5.95,2.91,53
Corn Chaat Salad,"Boiled Corn, Onion, Tomato, Lemon, Chaat Masala","Mix boiled corn with chopped onion, tomato, lemon juice, and chaat masala",90,['highenergy'],Salad,"Protein 3g, Carbs 18g, Fat 1g",kapha,123,10,3,"[170, 171, 166, 167, 172]",[123],3,Overweight,2,0,1,0,0,0,0,0,0,0,0,0,0,0,4,709,49,6.5,1.2,28
Chickpea Salad,"Boiled Chickpeas, Tomato, Onion, Lemon, Spices","Mix boiled chickpeas with chopped veggies, lemon juice, and spices",140,['proteinrich'],Salad,"Protein 7g, Carbs 20g, Fat 2g",kapha,124,6,3,"[173, 166, 171, 167, 174]",[124],3,Normal,3,0,0,0,0,0,0,0,0,0,1,0,0,0,2,452,24,4.76,5.91,51
Papaya Salad,"Ripe Papaya, Lemon, Green Chilies, Mint","Cube ripe papaya, mix with lemon juice, chopped green chilies, and mint leaves",50,['vitaminrich'],Salad,"Protein 1g, Carbs 10g, Fat 0g",pitta,125,7,3,"[175, 167, 176, 177]",[125],2,Overweight,2,0,0,0,0,0,0,0,0,0,0,0,0,1,12,395,23,3.29,9.26,50
Coconut Salad,"Grated Coconut, Cucumber, Green Chilies, Lemon","Grate coconut, mix with cucumber, chopped green chilies, and lemon juice",80,['cooling'],Salad,"Protein 2g, Carbs 7g, Fat 6g",pitta,126,11,3,"[178, 116, 176, 167]",[126],2,Overweight,2,1,0,0,0,0,0,0,0,0,0,0,0,0,6,560,12,3.62,6.49,46
Sweet Lime Salad,"Sweet Lime, Mint, Black Salt","Peel and segment sweet lime, mix with mint leaves and a pinch of black salt",45,['hydrating'],Salad,"Protein 1g, Carbs 9g, Fat 0g",pitta,127,12,3,"[179, 177, 164]",[127],2,Overweight,2,0,0,0,0,1,0,0,0,0,0,0,0,0,11,196,6,6.89,7.12,15
Bottle Gourd Salad,"Boiled Bottle Gourd, Lemon, Coriander, Cumin","Boil and cube bottle gourd, mix with lemon juice, coriander, and roasted cumin powder",30,['lowcalorie'],Salad,"Protein 1g, Carbs 6g, Fat 0g",pitta,128,16,3,"[180, 167, 78, 163]",[128],2,Overweight,2,0,0,0,0,0,1,0,0,0,0,0,0,0,8,197,35,7.65,13.66,61
Pumpkin Yogurt Salad,"Boiled Pumpkin, Yogurt, Mint, Black Pepper","Boil and cube pumpkin, mix with yogurt, mint leaves, and a pinch of black pepper",65,['cooling'],Salad,"Protein 3g, Carbs 10g, Fat 1g",pitta,129,11,3,"[181, 142, 177, 182]",[129],2,Overweight,2,1,0,0,0,0,0,0,0,0,0,0,0,0,11,760,44,8.02,5.88,35
Paneer Salad,"Paneer, Cucumber, Tomato, Coriander, Lemon","Cube paneer, mix with chopped veggies, coriander, and lemon juice",120,['proteinrich'],Salad,"Protein 8g, Carbs 6g, Fat 6g",pitta,130,3,3,"[93, 116, 166, 78, 167]",[130],2,Normal,3,0,0,0,0,0,0,0,0,0,1,0,0,0,10,538,19,8,8.2,43
Cabbage Salad,"Cabbage, Carrot, Lemon, Coriander, Mustard Seeds","Shred cabbage and carrot, temper mustard seeds, and mix with lemon juice and coriander",45,['lowcalorie'],Salad,"Protein 1g, Carbs 9g, Fat 0g",pitta,131,14,3,"[33, 60, 167, 78, 183]",[131],2,Overweight,2,0,0,0,0,0,1,0,0,0,0,0,0,0,13,689,0,1.37,11.97,68
Mint Yogurt Salad,"Mint, Yogurt, Cucumber, Salt, Black Pepper","Chop mint and cucumber, mix with yogurt, add salt and black pepper",50,['cooling'],Salad,"Protein 2g, Carbs 4g, Fat 2g",pitta,132,11,3,"[177, 142, 116, 168, 182]",[132],2,Overweight,2,1,0,0,0,0,0,0,0,0,0,0,0,0,8,600,7,5.2,6.55,65
Tomato Salad,"Tomato, Onion, Coriander, Lemon, Green Chilies","Chop tomatoes and onions, mix with coriander, lemon juice, and green chilies",40,['lowcalorie'],Salad,"Protein 1g, Carbs 8g, Fat 0g",pitta,133,1,3,"[166, 171, 78, 167, 176]",[133],2,Overweight,2,0,0,0,0,0,1,0,0,0,0,0,0,0,10,387,45,1.05,9.71,68
Watermelon Salad,"Watermelon, Mint, Lemon, Black Salt","Cube watermelon, mix with mint leaves, lemon juice, and a pinch of black salt",30,['lowcalorie'],Salad,"Protein 1g, Carbs 6g, Fat 0g",pitta,134,17,3,"[184, 177, 167, 164]",[134],2,Overweight,2,0,0,0,0,0,1,0,0,0,0,0,0,0,9,690,15,5.72,13.07,54
Lauki Kofta Curry,"Bottle Gourd, Gram Flour, Yogurt, Spices","Grate bottle gourd, make koftas with gram flour, fry or bake Prepare a light yogurtbased curry and simmer the koftas in it",85,['vitaminrich'],Curry,"Protein 3g, Carbs 9g, Fat 4g",pitta,135,16,6,"[185, 151, 142, 174]",[135],2,Overweight,2,0,0,0,0,0,0,0,0,0,0,0,0,1,13,522,13,4.69,14.29,15
Spinach Dal Curry,"Spinach, Yellow Lentils, Cumin, Turmeric",Cook lentils with spinach and temper with cumin and turmeric for a light curry,80,['highfiber'],Curry,"Protein 6g, Carbs 12g, Fat 1g",pitta,136,6,6,"[45, 186, 163, 187]",[136],2,Overweight,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3,200,11,8.93,3.06,46
Pumpkin Curry,"Pumpkin, Coconut, Curry Leaves, Mustard Seeds","Cook pumpkin with a light coconutbased gravy, tempered with mustard seeds and curry leaves",75,['cooling'],Curry,"Protein 2g, Carbs 10g, Fat 3g",pitta,137,11,6,"[19, 108, 188, 183]",[137],2,Overweight,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,464,22,3.83,13.97,66
Cucumber Curry,"Cucumber, Coconut, Green Chilies, Mustard Seeds",Cook cucumber in a light coconut curry with green chilies and tempered mustard seeds,70,['hydrating'],Curry,"Protein 1g, Carbs 8g, Fat 4g",pitta,138,17,6,"[116, 108, 176, 183]",[138],2,Overweight,2,0,0,0,0,1,0,0,0,0,0,0,0,0,8,347,14,1.61,7.89,42
Coconut Milk Veg Curry,"Mixed Vegetables, Coconut Milk, Curry Leaves","SautÃ mixed vegetables, simmer in coconut milk with mild spices and curry leaves",120,['cooling'],Curry,"Protein 3g, Carbs 12g, Fat 8g",pitta,139,12,6,"[189, 157, 188]",[139],2,Normal,3,1,0,0,0,0,0,0,0,0,0,0,0,0,8,660,27,1.86,4.62,62
Ash Gourd Curry,"Ash Gourd, Yogurt, Curry Leaves, Mustard Seeds","Cook ash gourd in a light yogurtbased curry, tempered with mustard seeds and curry leaves",65,['cooling'],Curry,"Protein 2g, Carbs 7g, Fat 2g",pitta,140,18,6,"[190, 142, 188, 183]",[140],2,Overweight,2,1,0,0,0,0,0,0,0,0,0,0,0,0,9,312,33,7.73,7.43,31
Carrot Curry,"Carrot, Coconut, Green Chilies, Mustard Seeds",Cook carrot in a lightly spiced coconut gravy and temper with mustard seeds,70,['vitaminrich'],Curry,"Protein 2g, Carbs 9g, Fat 3g",pitta,141,11,6,"[60, 108, 176, 183]",[141],2,Overweight,2,0,0,0,0,0,0,0,0,0,0,0,0,1,6,193,1,6.37,14.72,30
Drumstick Curry,"Drumsticks, Coconut, Curry Leaves, Tamarind",Cook drumsticks with coconut and tamarind for a mildly tangy and cooling curry,85,['vitaminrich'],Curry,"Protein 3g, Carbs 10g, Fat 4g",pitta,142,12,6,"[118, 108, 188, 137]",[142],2,Overweight,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,395,31,1.46,7.9,15
Okra Yogurt Curry,"Okra, Yogurt, Curry Leaves, Mustard Seeds","Cook okra and simmer in a spiced yogurtbased curry, tempered with mustard seeds and curry leaves",80,['cooling'],Curry,"Protein 3g, Carbs 7g, Fat 3g",pitta,143,14,6,"[128, 142, 188, 183]",[143],2,Overweight,2,1,0,0,0,0,0,0,0,0,0,0,0,0,13,673,22,1.3,5.6,15
Palak Paneer Curry,"Spinach, Paneer, Cumin, Turmeric","Cook spinach and blend into a creamy base, then simmer paneer cubes in it with mild spices",120,['proteinrich'],Curry,"Protein 7g, Carbs 6g, Fat 8g",pitta,144,7,6,"[45, 93, 163, 187]",[144],2,Normal,3,0,0,0,0,0,0,0,0,0,1,0,0,0,9,621,21,7.16,9.87,64
Zucchini Coconut Curry,"Zucchini, Coconut Milk, Ginger, Curry Leaves","SautÃ zucchini, cook in a mild coconut milk gravy with ginger and curry leaves",90,['cooling'],Curry,"Protein 2g, Carbs 8g, Fat 5g",pitta,145,11,6,"[55, 157, 191, 188]",[145],2,Overweight,2,1,0,0,0,0,0,0,0,0,0,0,0,0,7,51,24,1.19,4.36,57
Bitter Gourd Curry,"Bitter Gourd, Tamarind, Green Chilies, Curry Leaves","Cook bitter gourd with tamarind and spices, tempered with curry leaves for a light and tangy curry",60,['lowcalorie'],Curry,"Protein 2g, Carbs 7g, Fat 1g",kapha,146,16,6,"[192, 137, 176, 188]",[146],3,Overweight,2,0,0,0,0,0,1,0,0,0,0,0,0,0,12,353,21,8.31,2.06,13
Horse Gram Curry,"Horse Gram, Tamarind, Mustard Seeds, Spices","Soak and cook horse gram, simmer with tamarind and spices for a Kaphabalancing curry",90,['highfiber'],Curry,"Protein 5g, Carbs 14g, Fat 0g",kapha,147,3,6,"[193, 137, 183, 174]",[147],3,Overweight,2,0,0,1,0,0,0,0,0,0,0,0,0,0,4,303,21,7.21,2.8,39
Sweet Potato Curry,"Sweet Potato, Coconut Milk, Ginger, Curry Leaves",Cook sweet potato in coconut milk with mild spices and ginger Temper with curry leaves,95,['highenergy'],Curry,"Protein 2g, Carbs 20g, Fat 4g",vata,108,8,6,"[194, 157, 191, 188]",[148],1,Overweight,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,701,48,1.27,2.79,20
Methi Dal Curry,"Fenugreek Leaves, Yellow Lentils, Ginger, Spices","Cook yellow lentils with fenugreek leaves, ginger, and mild spices for a nourishing curry",85,['highfiber'],Curry,"Protein 6g, Carbs 12g, Fat 1g",vata,148,6,6,"[195, 186, 191, 174]",[149],1,Overweight,2,0,0,1,0,0,0,0,0,0,0,0,0,0,4,502,41,1.31,3.13,39